	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	2.0E-02	77	531	1.51	GO:0072503 cellular divalent inorganic cation homeostasis	http://amigo.geneontology.org/amigo/term/GO:0072503	CALCR,TBXA2R,ATP2C1,TRPC5,SLC8B1,CALCA,TRPV4,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,FGF2,XCL1,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,TRPM7,PTPN6,APOE,SWAP70,LHCGR,METTL21C,SYPL2,ATP1B1,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,BOK,TMEM64,DIAPH1,CACNA2D1,P2RX2,NOS1,JPH1,LPAR3,S1PR3
	2.0E-02	117	1119	1.39	GO:0002684 positive regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002684	CD38,TREM2,MADCAM1,BST1,IL23A,CR2,THEMIS2,PTPN22,C5AR2,PARP9,XCL1,SUSD4,ADAM8,ICOSLG,IFI16,SYK,BTNL9,KLK5,BTNL3,FPR2,CLCF1,CD19,FES,FPR3,S100A14,CD55,CR1L,CD177,NFAM1,ACTB,IL12B,C1QA,IFI35,PVR,CEACAM1,TESC,CD209,SIRT1,TLR8,CALCA,GPLD1,MAD2L2,ZP4,EDN3,TNFSF14,LGALS3,SLC15A4,NLRC5,KLK3,PLA2G7,SERPING1,IL18,MIA3,KIT,FZD5,PF4,ZC3H12A,LACC1,HEXIM1,PLCG2,SPHK2,PRKCZ,IL4R,RIF1,IRAK3,COCH,FCER2,HAMP,TRPV4,PTPN6,MPL,GPR68,CLU,NMI,IRF3,ZBTB46,SWAP70,IL15RA,TLR4,VAV1,NFKBIZ,TNFRSF21,PPARGC1B,BRAF,ZBTB7B,TLR3,CLEC4D,STAT6,PTAFR,SOCS5,PTPN2,PAWR,HCLS1,TMEM64,TBK1,IRS2,TOX,CEBPA,PRKCH,PIK3CB,UBE2K,ICAM1,SERPINE1,RAB29,ADGRE2,SH3KBP1,RHOH,PIK3CD,STXBP2,TGFB2,EIF2AK4,EP300,HCK,EBI3,BANK1,YES1,PTPN11
	2.4E-02	46	377	1.71	GO:0031349 positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	TREM2,PARP9,IFI16,KLK5,IL23A,IL12B,TLR4,IL18,MAPK13,TLR3,CYBA,IFI35,NFKBIA,TLR8,EMILIN2,SLC15A4,NLRC5,KLK3,FPR2,NLRP6,HEXIM1,C2CD4B,COCH,TRPV4,NMI,IRF3,TNFRSF11A,VAV1,ADAM8,NPY5R,SYK,CEBPB,NUPR1,GPR4,TBK1,PLCG2,CEBPA,SERPINE1,PVR,UBE2K,NFKBIZ,GRN,EP300,HCK,PLA2G7,PLA2G2A
	2.4E-02	60	375	1.59	GO:1904062 regulation of cation transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:1904062	CACNG7,HAMP,SCN1B,KCNS1,CRACR2A,DPP6,STAC2,CACNG8,KCNE4,SLMAP,CACNB2,KCNAB1,KCNE3,NPSR1,SHISA8,AKAP5,GRIN2A,RYR2,VMP1,GNB5,TESC,MMP9,ATP1B1,XCL1,LRRC38,NETO1,CXCL11,CD19,FLNA,WWP2,CYBA,ATG5,SPHK2,TMEM38A,TREM2,SLC9A3R1,PTPN6,PKD2,EDN3,HSPA2,PTPN22,LHCGR,METTL21C,STOM,HOMER1,JPH3,SLC30A1,PLCG2,CALCR,CLTRN,CACNA2D1,DIAPH1,COX17,NOS1,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,JPH1
	2.4E-02	163	1731	1.30	GO:0043207 response to external biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0043207	LTF,TNK2,NOS1,HCK,TLR8,RELB,HAMP,TRIM14,FRK,TRIM38,IFIH1,CXCL6,IL37,APOBEC3F,PTPN22,OASL,TLR4,PARP9,HERC5,NLRC5,IFITM3,XCL1,SUSD4,GBP4,IFI16,CXCL3,PF4,SYK,CLEC4D,KLK5,CXCL11,NLRP6,YES1,APOBEC3B,SSC5D,FES,MX2,S100A14,APOBEC3D,APOBEC3C,IRAK3,TBK1,IFNE,UPF1,GRN,CYBA,ATG5,IFI35,HIF1A,EPPIN,RNF125,IL23A,CYP27B1,IL12B,RAB29,IRF3,VIL1,ZFP36,GCH1,EMILIN2,SERINC3,CH25H,ANXA3,SLC15A4,KLK3,LCN2,ANKRD1,SERPING1,IL18,FZD5,ZC3H12A,FPR2,H2BC4,HEXIM1,CD55,TBXA2R,HMGB3,PRDM1,IL4R,CD209,TYRO3,TREM2,COCH,NFKBIA,ACP5,WASL,TMEM33,UNC93B1,SLC15A3,POU2AF1,PTPN6,PRLR,STXBP3,ARHGEF2,CR2,CLU,LRAT,NMI,PTGER2,BECN1,VGF,EIF2AK4,APOE,AKAP12,LGALS3,SFTPD,IRF4,ITGAX,TNFRSF11A,VAV1,SIGLEC10,IL22RA1,OCIAD2,MFHAS1,NOCT,ADAM8,BANK1,MCOLN2,TIMP4,CDA,ADAR,IKZF3,SLC15A2,DTX3L,OTUD4,TLR3,CLDN3,MAP4K2,MLKL,PTAFR,PIK3CD,CEBPB,C1QA,PTPN2,PLAAT3,LACC1,ADGRB1,YTHDF3,PLA2G2A,LITAF,IL1RAP,ILRUN,MAP3K5,PLCG2,CD177,LGR4,MRC1,PNLIPRP2,SERPINE1,PVR,UBE2K,CEACAM1,SASH1,AKAP1,NR1D1,KRT8,SERPINB9,TREML1,EP300,XIAP,F12,PTPN11,CLEC2A
	2.4E-02	176	1735	1.29	GO:0002682 regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	CD38,CEACAM1,TREM2,MADCAM1,TLR8,BST1,UNC93B1,IL23A,CR2,THEMIS2,PTPN22,C5AR2,TLR4,PARP9,NLRC5,XCL1,SUSD4,TNFRSF21,ADAM8,BANK1,ICOSLG,IFI16,OTUD4,SYK,BTNL9,KLK5,RHOH,BTNL3,FPR2,CLCF1,CD19,FES,FPR3,S100A14,CD55,CR1L,MAFB,CD177,NFAM1,ACTB,HIF1A,IL12B,ZC3H12A,C1QA,GRN,CYBA,IFI35,PVR,TESC,CD209,TGFB2,SIRT1,RNF125,CALCA,GPLD1,IFIH1,MAD2L2,ZP4,INHBA,EDN3,TNFSF14,IRF3,ZFP36,LGALS3,OASL,SLC15A4,KLK3,PLA2G7,SERPING1,IL18,MIA3,KIT,FZD5,PF4,TLR3,LACC1,L3MBTL1,HEXIM1,PLA2G2A,PLCG2,HMGB3,PRDM1,ATG5,SPHK2,CNN2,PRKCZ,RORA,IL4R,THOC1,RIF1,SLC8B1,IRAK3,TYRO3,COCH,NFKBIA,ACP5,SFRP1,FCER2,HAMP,SLC15A3,TRPV4,PTPN6,CD48,MPL,GPR68,CLU,NMI,CXCL6,GPR18,NR1D1,APOE,ZBTB46,PIAS3,SFTPD,SWAP70,IL15RA,IRF4,CUL4A,VAV1,NFKBIZ,MFHAS1,ZFP36L2,PPARGC1B,BRAF,ZBTB7B,ADAR,IKZF3,NPY5R,LMO1,CLEC4D,STAT6,PTAFR,SOCS5,CEBPB,RARG,NLRP6,PTPN2,PAWR,HCLS1,TMEM64,TBK1,YTHDF3,IRS2,LITAF,TOX,LGR4,ORM1,CEBPA,LTF,PRKCH,PIK3CB,UBE2K,ICAM1,WASL,SERPINE1,ADTRP,RAB29,SDC4,BMP4,ADGRE2,MYC,SH3KBP1,MYSM1,SERPINB9,PIK3CD,STXBP2,EIF2AK4,SLC15A2,MAPK9,EP300,HCK,XIAP,EBI3,RHBDF2,YES1,PTPN11
	2.4E-02	228	1916	1.25	GO:0042592 homeostatic process	http://amigo.geneontology.org/amigo/term/GO:0042592	LTF,ACTB,CALCR,TBXA2R,PROM1,ATP2C1,CP,SLC9A7,TRPC5,ATP12A,FTL,SLC4A11,SLC8B1,TRPM7,ACP5,GSR,TJP3,ATP4A,HAMP,TFR2,CALCA,TRPV4,RHAG,SLC4A9,SLC8A2,PKD2,TJP2,EDN3,MT1G,GPR18,PTGER2,VGF,SFTPD,C5AR2,TMEM165,TRPC6,SLC39A5,TNFRSF11A,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,FLVCR1,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,ATP6V0A2,MT1X,NPSR1,FPR3,SIGLEC15,SLC34A3,MT1H,MT1HL1,HIF1A,AKAP5,FLNA,RYR2,GCLC,UBE2K,GLP1R,INHBA,ZFP36,APOE,MYC,FGF2,XCL1,CLTRN,LCN2,TCF7L2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,MBP,MAFB,TUNAR,CD38,IL20RA,GCLM,HEXB,LIMA1,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,RORA,TMEM38A,NOX3,IL4R,ICAM1,TYRO3,FMO2,TREM2,SIRT1,UPK3A,XIAP,PPP1R13L,FGF21,LSR,SLC9A3R1,SH2B3,PTPN6,ACOT13,CERT1,PRLR,ACVR2B,STEAP3,STXBP3,LEPR,MPL,GPR68,MYCT1,ACO1,HVCN1,CXCL6,BMP4,NR1D1,NXNL2,SCO1,KRAS,SWAP70,WDR36,TLR4,IRF4,LHCGR,SLC15A4,METTL21C,DEF8,SYPL2,ADRA2A,IL18,ADAM8,HOMER1,MCOLN2,JPH3,PPARGC1B,GHRL,KIT,SV2A,ZBTB7B,ADAR,SQSTM1,KLF15,SPINK1,GRIK2,CITED2,STEAP1,SYK,CACNB2,LMO1,STAT6,CLIC4,FOXA3,CEBPB,NR1D2,NLRP6,PTPN2,KCNE3,SFN,MEX3C,BOK,ZBTB7A,PTPN11,HCLS1,TMEM64,CSMD1,IRS2,MAFG,TMPRSS11F,LGR4,CEBPA,USH1C,GRN,CHMP2B,FA2H,MET,SH3GL2,CYP27B1,TENT4B,DIAPH1,MFHAS1,ADGRV1,TPP1,PIK3CD,FOXC2,RAB39A,USH1G,CLDN4,SCTR,GPLD1,ALMS1,SPX,OCIAD2,CACNA2D1,FGFR4,ACOT11,LARGE2,KSR2,PLA2G2A,VCL,TNFSF14,TESMIN,MALL,F11R,DEDD2,CLDN3,P2RX2,S100A14,NOS1,JPH1,RDH12,MYO5B,LPAR3,S1PR3
	2.4E-02	325	2990	1.19	GO:0007166 cell surface receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007166	ITGA3,IL20RA,TNK2,TLE2,GUCY2C,FGF22,EPHA8,LLGL2,IL4R,FGFR1,TRAF5,IRAK3,ITGA6,TYRO3,RFFL,TGFB2,MADCAM1,GSKIP,HCK,XIAP,EMD,SFRP1,TNFRSF10A,EBI3,FGF21,MET,DVL1,BMPR1A,TNKS2,CBL,CAPRIN2,IL23A,GLI1,FGF6,FRK,IL12B,PRLR,ACVR2B,GRB14,LEPR,MPL,TEK,INHBA,ACVR1C,CXCL6,DOK4,BMP4,IL37,STAT5A,RHBDF2,THEMIS2,LGALS3,ITGB4,GUCY2D,PTPN22,NGF,IL15RA,C5AR2,GH2,CFC1,SEMA6D,PARP9,FGF2,SLC39A5,ITGAX,NLRC5,TNFRSF11A,IGFBP4,IFITM3,CBLC,IL22RA1,ITGA10,XCL1,FCRL5,TCF7L2,GPHA2,CSNK1G3,BEND6,HOMER1,ITGAD,KIT,DEDD,ICOSLG,DEDD2,FGFR4,LEMD2,FRZB,TGFA,CCNYL1,FZD5,HIPK1,CXCL3,PF4,DTX3L,OTUD4,DACT2,LMTK2,SYK,BTNL9,NETO1,STAT6,MS4A15,IGFBP6,FAM83B,SEMA4C,BTNL3,CXCL11,SEMA3E,FPR2,SHCBP1,WFIKKN2,NRROS,CLCF1,YES1,BDNF,BOK,CD19,DAND5,SHISA2,FES,GRIN2A,IFNE,PDE6G,IRS2,FPR3,SPRY4,FAM83G,SEMA4A,CSF2RA,CD177,LEPROT,NTF4,NFAM1,TNFSF12,HIF1A,BRMS1L,PLAU,GHRL,PDZD3,JUP,TBK1,LTF,ABCA7,JADE1,CEACAM1,ICAM1,TREM2,SIRT1,NFKBIA,RSPO4,SALL1,SPIN1,SH2B3,CCNC,GPLD1,EFEMP1,SOCS2,EDN3,OVOL2,VIL1,APOE,LGR6,PRICKLE1,NLGN4X,IGSF1,ADRA2A,IL18,CD109,RBPMS,CREB3L1,BRAF,TLR3,AR,SLC33A1,SOCS5,NLRP6,PTPN2,FOXC2,PTPN11,NRXN1,SOCS4,SOX2,PTPRT,CD55,TRIM33,ENPP1,PLCG2,LGR4,CEBPA,GCLC,CALCR,GCLM,CD44,IL17RB,SEZ6,DLX3,PRKCZ,RORA,FERMT2,SCTR,ANGPT4,HAMP,DLX5,CHRNE,SLC9A3R1,CPZ,KRT18,PTPN6,GLP1R,PERP,UNC5A,VIPR1,CR2,CHRNB4,SLC8A2,PKD2,TNN,NMI,GFRA4,IRF3,ADGRE2,CHAC1,PIAS3,MBD2,ELP2,OASL,TLN1,FGFBP1,WDR12,IQGAP1,GAS8,VAV1,NFKBIZ,NCEH1,TNFRSF21,GRIK4,GRID2,HHEX,TIMP4,ZBTB7B,ADAR,HESX1,ZC3H12A,KLF15,SENP2,ADGRV1,TERT,GRIK2,CITED2,CLEC4D,NDEL1,NKX3-1,MLKL,COL4A3,RGS14,PTAFR,NRG4,EVC2,TSPEAR,CLEC14A,PAWR,ZBTB7A,HCLS1,TMEM64,ADGRB1,ROR1,YTHDF3,P2RX2,IL1RAP,FLNA,ANXA4,SIPA1L1,APCDD1L,LRIG2,TRIM71,S1PR3,PIK3CB,PPP2CB,TLR4,KIAA0319,PIK3CD,CD38,PRKCH,UBE2K,PCDH11Y,EP300,MMP9,SERPINE1,SASH1,STRN,MAD2L2,RAB29,TMBIM1,USP8,CARD14,RAB5A,VWA2,PIP4K2C,FEM1B,KRT8,CHRNA3,GMDS,ARHGEF2,WDR11,OCIAD2,HTRA4,RIMS2,SHTN1,SPRED3,ARHGEF19,CDA,PRICKLE2,MAPK9,UBE2D1,COL16A1,BST1,GALNT3,ABI1,CNKSR1,PTPRG,BANK1,PRKCI,NTSR2,RARG,WWP2
	2.4E-02	360	3300	1.18	GO:0070887 cellular response to chemical stimulus	http://amigo.geneontology.org/amigo/term/GO:0070887	IL20RA,GNA15,GNB5,FGF22,IL4R,TRAF5,IRAK3,TGFB2,HIF1A,HRH3,GSR,EBI3,FGF21,BMPR1A,SOD3,TRPV4,FGF6,IL12B,PRLR,ACVR2B,GRB14,LEPR,MPL,ACVR1C,CXCL6,MT1G,PTGER2,IL37,NR1D1,STAT5A,HSPA2,RAMP2,LGALS3,SYT6,NGF,IL15RA,GH2,LHCGR,PARP9,FGF2,SLC39A5,RAB15,NLRC5,TNFRSF11A,IFITM3,IL22RA1,XCL1,CRHBP,THRB,HSPB8,GNA14,KIT,JAML,LEMD2,GBP4,TAFA4,IFI16,CXCL3,PF4,OTUD4,STAT6,CHRM1,AR,CXCL11,MT1E,SHCBP1,RARG,SYT12,WFIKKN2,NRROS,NR1D2,BDNF,HTR1F,DAND5,HTR1D,SHISA2,IFNE,IRS2,MT1X,SPRY4,FAM83G,S100A14,CYP2B6,MAP3K5,CYP2A13,CSF2RA,LGR4,MT1H,SYT3,LEPROT,NTF4,MT1HL1,BRMS1L,GHRL,SCNN1G,TBK1,UPF1,MGST1,LTF,DPEP1,CD44,SPHK2,GSTO2,RORA,FGFR1,PIAS2,SLC4A11,TESC,ICAM1,FMO2,TREM2,SIRT1,EP300,TCL1A,DHRS2,NFKBIA,MMP9,XIAP,SFRP1,HAS1,TMEM33,BST1,CALCA,CYP27B1,SH2B3,GPLD1,ARHGEF2,PKD2,SOCS2,HVCN1,EDN3,TRERF1,BMP4,VIL1,ZFP36,AANAT,WBP2,PTPN22,TLR4,MYC,TPMT,AOX1,RDH12,IQGAP1,PELP1,SLC13A5,TRPM2,PLA2G7,TNFRSF21,CLTRN,ANKRD1,IL18,ADAM8,ZFP36L2,PPARGC1B,CD109,MAPK13,CREB3L1,BRAF,FGFR4,HIPK1,ZC3H12A,CITED2,SYK,FBP1,MARS1,NKX3-1,UGT3A2,NR0B1,SLC33A1,FPR2,PDE3A,JUP,NLRP6,FOXC2,SLC38A9,PTPN11,NRXN1,ADO,RXRA,RUFY4,PTPRT,AKR1C3,CD55,MME,TRIM33,ENPP1,RYR2,CEBPA,TUNAR,GCLC,TBXA2R,GCLM,PIK3CB,CYBA,IL17RB,ATG5,PPP1R12A,DLX3,PFKP,PRKCZ,EPHA8,TMEM38A,IPCEF1,RIF1,COL16A1,NME8,SLC8B1,RNF125,KLF5,EHD4,ASAH1,RELB,HAMP,DLX5,SLC9A3R1,CBL,IL23A,KRT18,GLP1R,ADAM23,STXBP3,CTH,SGK1,GPR68,HELLS,LRAT,INHBA,NMI,GPR18,TNFSF14,OVOL2,IRF3,BECN1,APOE,AKAP12,GFPT2,PIAS3,SWAP70,MBD2,OASL,FGFBP1,CH25H,USP8,PRDM5,USO1,METTL21C,VAV1,MGST3,NCEH1,ADRA2A,UCHL1,HTR6,ATP13A2,ZBTB7B,ADAR,NUP35,RNF149,PRKCI,HESX1,PCOLCE2,KLF15,SPINK1,TLR3,TERT,ABTB2,SPINT1,NDEL1,PTAFR,SOCS5,CEBPB,ATP2A2,PTPN2,YES1,BOK,PAWR,AGTRAP,CHEK2,YTHDF3,P2RX2,LITAF,IL1RAP,HBG2,STRN3,PAX9,TRIM71,SIPA1,MRC1,NR2E3,ANGPT4,ADTRP,TPM1,SERPINB9,PPP2CB,TFR2,CACNA2D1,PIK3CD,ITGA3,DDX11,MAPK9,ROCK1,FERMT2,ACTB,UBE2K,ZFAND6,RFFL,ERMP1,GSKIP,EMD,MET,SERPINE1,BIN2,SASH1,GOLPH3,IFIH1,CLU,ADGRE2,DIAPH1,GCH1,LARS1,SLC38A2,C5AR2,CARD14,LARP1,VWA2,PIP4K2C,KMT2D,CLIC4,KRT8,ZBTB7A,HCLS1,FES,ATP6V0A2,NCOR2,FLNA,PLCG2,GUCA1A,ABCA7,CEACAM1,CHRNA3,NOS1,SH3GL2,DPYSL3,HHEX,ADGRV1,HTRA4,KCND2,SPRED3,PLPP1,CLCF1,ACSM2B,UBE2D1,HCK,ABCC3,PTPN6,GALNT3,AOC2,SFTPD,SLC22A7,EPHX1
	2.5E-02	50	303	1.66	GO:0072659 protein localization to plasma membrane	http://amigo.geneontology.org/amigo/term/GO:0072659	ARHGAP44,EHD2,TSPAN17,EHD4,SLC9A3R1,GOLPH3,RAMP2,EFR3A,RAB15,STAC2,GOLPH3L,SLMAP,WDR72,RAB3B,PDZD3,ITGA3,TESC,TREM2,KRT18,LGALS3,ATP1B1,AMN,AR,FLNA,PRKCZ,PLS1,LYPLA1,VIL1,RHBDF2,SQSTM1,PKDCC,PRKCI,ROCK1,ATP2C1,PPP2R5A,ACTB,TMBIM1,CLTC,F11R,PLEKHF1,STX3,JUP,GAK,AKAP5,PKP3,PACSIN1,DPP6,CACNB2,NRXN1,PRKCH
	2.5E-02	63	549	1.56	GO:0002764 immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	TLR8,UNC93B1,THEMIS2,PTPN22,C5AR2,TLR4,ICOSLG,OTUD4,SYK,BTNL9,BTNL3,FPR2,CD19,FPR3,S100A14,NFAM1,CYBA,IFI35,CEACAM1,RNF125,GPLD1,IFIH1,IRF3,OASL,KIT,ZC3H12A,TLR3,LACC1,PLCG2,IRAK3,TYRO3,TREM2,NFKBIA,SLC15A3,PTPN6,CR2,NMI,IRF4,SLC15A4,NFKBIZ,TNFRSF21,MFHAS1,BRAF,CLEC4D,NLRP6,PTPN2,PAWR,LGR4,CD38,LTF,PRKCH,RAB29,NR1D1,LGALS3,SLC15A2,MAPK9,EP300,HCK,XIAP,VAV1,BANK1,PIK3CD,YES1
	2.5E-02	71	481	1.52	GO:0007015 actin filament organization	http://amigo.geneontology.org/amigo/term/GO:0007015	CAPG,LIMA1,WDR1,ADD2,CAPZB,CARMIL1,RND2,TRPV4,DPYSL3,ARHGEF2,PLS1,CALD1,ARHGAP40,DSTN,VIL1,DIAPH1,RHPN2,LCP1,TPM1,MYO1F,SH3KBP1,DIAPH2,CARMIL2,XIRP2,CDC42EP3,SHROOM1,MYO1A,MYO5B,RHOH,SYNPO2,SSH3,RHOD,HCLS1,NEB,MYO6,CD2AP,WASHC2A,WASHC4,WASHC2C,NCKAP1,MET,WASL,IQGAP2,GHRL,FLNA,GBA2,ACTN1,FAT1,PDLIM1,ALMS1,SDC4,PACSIN1,SWAP70,ABI1,SPTBN5,PPARGC1B,BRAF,PRKCI,TACSTD2,ARFGEF1,FERMT2,MAD2L2,F11R,ARHGAP12,USH1C,SFRP1,PAWR,SHTN1,ARHGEF15,ROCK1,HCK
	2.5E-02	157	1241	1.31	GO:0048878 chemical homeostasis	http://amigo.geneontology.org/amigo/term/GO:0048878	CALCR,TBXA2R,ATP2C1,CP,SLC9A7,TRPC5,ATP12A,FTL,SLC4A11,SLC8B1,TRPM7,ATP4A,HAMP,TFR2,CALCA,TRPV4,RHAG,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,VGF,SFTPD,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,HIF1A,GLP1R,APOE,MYC,FGF2,XCL1,CLTRN,LCN2,TCF7L2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,GCLC,CD38,LTF,GCLM,HEXB,LIMA1,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,RORA,TMEM38A,ICAM1,TREM2,SIRT1,UPK3A,FGF21,LSR,SLC9A3R1,PTPN6,CERT1,STEAP3,STXBP3,LEPR,GPR68,ACO1,HVCN1,NR1D1,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,ADRA2A,IL18,HOMER1,MCOLN2,JPH3,GHRL,SV2A,KLF15,SPINK1,GRIK2,STEAP1,CACNB2,CLIC4,FOXA3,NR1D2,PTPN2,KCNE3,SFN,BOK,PTPN11,TMEM64,CSMD1,IRS2,MAFG,TMPRSS11F,CEBPA,GRN,FA2H,MET,CYP27B1,TENT4B,DIAPH1,RAB39A,CLDN4,SCTR,GPLD1,SPX,CACNA2D1,FGFR4,TESMIN,MALL,P2RX2,S100A14,NOS1,XIAP,JPH1,FLVCR1,MYO5B,LPAR3,S1PR3
	2.5E-02	227	1874	1.24	GO:0051049 regulation of transport	http://amigo.geneontology.org/amigo/term/GO:0051049	FZD5,LEPROT,ICA1,PRSS8,LLGL2,CADPS2,TREM2,HRH3,CACNG7,HAMP,SCN1B,DENND10,KCNS1,PACSIN1,RHBDF2,CRACR2A,APOC1,DPP6,LGALS3,SFTPD,SYT6,DYSF,RAB15,MCTP2,STAC2,CACNG8,RAB5A,CRHBP,CLTRN,SLC25A4,BICD1,KCNE4,HOMER1,AZIN1,GHRL,SLMAP,SYK,CACNB2,RAB3B,KCNAB1,SYT12,KCNE3,FES,NPSR1,WWP2,CD177,SYT3,SHISA8,ADRA2A,ADAM8,AKAP5,GRIN2A,RYR2,CYBA,TNK2,VMP1,GNB5,CEACAM1,TESC,SLC8B1,TGFB2,PLTP,MMP9,SFRP1,FGF21,SERPINE1,CALCA,LEPR,PKD2,EDN3,BMP4,APOE,LCP1,TRPC6,ATP1B1,XCL1,CACNA2D1,PROM2,BRAF,ATP13A2,LRRC38,ZC3H12A,NETO1,NKX3-1,CXCL11,FPR2,CEBPB,JUP,CD19,PTPN11,ANO9,FLNA,ENPP1,TUNAR,GCLC,CD38,ARHGAP44,EHD2,ATG5,PPP1R12A,SPHK2,CNN2,PRKCZ,TMEM38A,IL4R,EDEM2,SIRT1,KCNK6,HIF1A,GPR143,EHD4,CBLL1,DVL1,ASIC2,SLC9A3R1,PTPN6,STXBP3,KCNC4,RAB29,GPR68,LYPLA1,LRAT,HVCN1,ACVR1C,H1-1,KCNK17,NR1D1,HSPA2,SYNGR3,KCNC3,PTPN22,DOCK2,LHCGR,KIF20B,METTL21C,TNFRSF11A,TRPM2,STOM,CACNA1B,DOC2A,JPH3,PIP4P2,KCNMA1,CACNA2D3,SV2A,PKDCC,PRKCI,KLF15,NPY5R,SPINK1,TERT,CHRM1,PTAFR,CLIC4,SLC30A1,KCNS3,KCNG3,TMEM37,ATP2A2,NLRP6,SFN,YES1,RIMS2,BOK,NRXN1,KCND2,IRS2,CATSPER4,PLCG2,CD2AP,CALCR,ROCK1,ACTB,TFR2,IL12B,CLU,INHBA,ATP2C1,CLTCL1,ATP8B1,NFKBIA,HCK,EPPIN,EMD,CBL,ADTRP,GOLPH3,VPS4B,RAB9A,SDC4,ADGRE2,DIAPH1,XPO4,IL15RA,CLDN10,GCC2,TLR4,COX17,GOLPH3L,ANKRD1,TCF7L2,ICE1,CLDN3,NDEL1,RAB33B,HCLS1,USH1G,MX2,MYO6,ABCA7,STXBP2,CHRNA3,NOS1,WASL,CREBL2,GPLD1,SPX,MINK1,MTCL1,CHRNB4,P2RX2,ADRA2B,CAPN1,PIK3CB,JPH1,SGK1,RXRA
	2.5E-02	42	252	1.75	GO:0007599 hemostasis	http://amigo.geneontology.org/amigo/term/GO:0007599	VCL,ACTB,MYL9,TLN1,FLNA,TYRO3,VWF,PLAU,PROZ,F12,TREML1,SYK,SERPINE1,F11,APOE,EMILIN2,F11R,PF4,KLKB1,HPSE,TBXA2R,PIK3CB,ENTPD2,DGKA,PROCR,SH2B3,PTPN6,MPL,TLR4,SERPING1,ADRA2A,ADRA2B,ADTRP,STXBP3,PRKG1,CEACAM1,NFE2,ENTPD1,VAV1,FLI1,JMJD1C,PLCG2
